지역_위치별(주유소),,,,,,,,,
,,,,,,,,,(단위 : 원/리터)
지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,대양산업(주)동화주유소,부산 해운대구 해운대로 211 (재송동),GS칼텍스,051-781-4400,Y,1794,1519,1523,1650
부산광역시,오시리아주유소,부산 해운대구 해운대로 1226 (송정동),현대오일뱅크,051-703-5025,Y,1838,1520,1529,-
부산광역시,삼양주유소,부산 해운대구 해운대로 1249 (송정동),GS칼텍스,051-704-5149,Y,1838,1520,1529,-
부산광역시,반송파크주유소,부산 해운대구 석대천로 198,현대오일뱅크,051-545-5151,N,-,1528,1668,-
부산광역시,동양가스(주) 명품주유소반송점,부산 해운대구 반송로 781 (석대동),현대오일뱅크,051-522-2590,Y,-,1529,1499,1550
부산광역시,SK에너지(주)직영 해운대센텀주유소,부산 해운대구 수영강변대로 276,SK에너지,051-784-2999,Y,-,1529,1569,-
부산광역시,동부산셀프주유소,부산 해운대구 반송로 875 (반송동),GS칼텍스,051-543-1273,Y,1774,1529,1499,-
부산광역시,양천석유(주)덕진셀프주유소반송점,부산 해운대구 반송로 782,SK에너지,051-531-5151,Y,-,1529,1499,-
부산광역시,현대오일뱅크㈜직영 센텀셀프주유소,부산 해운대구 해운대로 179 (재송동),현대오일뱅크,051-784-0293,Y,1919,1539,1539,-
부산광역시,한양 브라보주유소,부산 해운대구 해운대로 1238 (송정동),알뜰주유소,051-703-5451,N,-,1542,1527,-
부산광역시,(주)조은하루주유소,부산 해운대구 해운대로 551 (우동),S-OIL,051-741-5189,Y,-,1544,1554,-
부산광역시,㈜대운이엔지 유선주유소,부산 해운대구 해운대로 1184,S-OIL,051-704-0980,Y,-,1548,1532,-
부산광역시,㈜대운이엔지,부산 해운대구 해운대로 1178,현대오일뱅크,051-702-7293,Y,-,1548,1532,-
부산광역시,sc(주)센텀주유소,부산광역시 해운대구  수영강변대로 504 (반여동),GS칼텍스,051-527-4144,Y,-,1549,1539,-
부산광역시,신촌셀프주유소,부산 해운대구 반여로 153 (반여동),S-OIL,051-523-5151,Y,1819,1549,1559,-
부산광역시,해운대주유소,부산 해운대구 좌동순환로 375,S-OIL,051-747-2526,Y,-,1549,1679,-
부산광역시,(주)이엠석유 대흥주유소,부산 해운대구 좌동순환로 419 (중동),GS칼텍스,051-731-3675,Y,1839,1549,1679,1650
부산광역시,광신석유(주)직영 수영강변대로주유소,부산 해운대구 수영강변대로 568,SK에너지,051-529-1100,Y,2199,1549,1559,1799
부산광역시,지에스칼텍스(주)광안대로주유소,부산 해운대구 수영강변대로 590,GS칼텍스,051-521-1436,Y,1769,1549,1539,-
부산광역시,해변주유소,부산 해운대구 해운대로 592 (우동),SK에너지,051-363-9633,Y,-,1549,1539,-
부산광역시,지에스칼텍스(주)해운주유소,부산 해운대구 해운대로 615 (우동),GS칼텍스,051-744-0185,Y,1813,1549,1559,1650
부산광역시,(주)세일 송정역주유소,부산 해운대구 해운대로 1217,S-OIL,051-717-3070,Y,-,1556,1529,-
부산광역시,SK에너지(주)신도시주유소,부산 해운대구 대천로 82 (좌동),SK에너지,051-747-5182,Y,1829,1559,1579,-
부산광역시,SK에너지(주) 송정셀프주유소,부산 해운대구 해운대로 1075 (송정동),SK에너지,051-704-0011,Y,-,1559,1589,-
부산광역시,동해주유소,부산 해운대구 재반로 163 (재송동),SK에너지,051-783-8660,Y,-,1559,1559,1500
부산광역시,(주)세일 구도일주유소센텀시티,부산 해운대구 해운대로 285 (우동),S-OIL,051-742-0882,Y,1832,1568,1564,-
부산광역시,현대오일뱅크(주)직영 장산IC주유소,부산 해운대구 양운로 107 (좌동),현대오일뱅크,051-704-5189,N,1904,1579,1559,-
부산광역시,㈜은성석유 반송제일주유소,부산 해운대구 반송로 780 (석대동),S-OIL,051-531-3885,Y,-,1579,-,-
부산광역시,SK에너지(주) 마리나주유소,부산 해운대구 해운대로 345 (우동),SK에너지,051-747-5181,Y,1829,1588,1598,-
부산광역시,SK에너지(주) 돌고래주유소,부산 해운대구 해운대로573번길 16,SK에너지,051-747-5190,N,1829,1589,1629,-
부산광역시,에스씨(주) 마리나타운주유소,부산 해운대구 해운대해변로 44 (우동),GS칼텍스,051-741-7030,N,1898,1598,1649,-
부산광역시,지에스칼텍스(주)해운대중동주유소,부산 해운대구 좌동로 34 (중동),GS칼텍스,051-731-5712,Y,1824,1609,1639,1650
부산광역시,(주)대양씨앤씨 달맞이주유소,부산 해운대구 달맞이길 57 (중동),GS칼텍스,051-747-8481,Y,1879,1629,1639,-
